name,type,address,district,lng,lat,rating,cost,main_type
麦当劳(前海深港基金小镇店),餐饮服务;快餐厅;快餐厅,怡海大道前海深港基金小镇43栋内,南山区,113.905378,22.529966,4.7,25,餐饮服务
喜记潮牛庄·牛肉火锅(学府店),餐饮服务;中餐厅;火锅店,南山街道学府路时代大厦103-104号,南山区,113.911592,22.528061,4.7,104,餐饮服务
金盏盏客家3道菜(学府路店),餐饮服务;中餐厅;中餐厅,学府路263号(地铁1号线大新站C1口步行740米),南山区,113.911438,22.528099,4.1,60,餐饮服务
顺德佬(学府店),餐饮服务;中餐厅;中餐厅,学府路西312号天朗风清家园A栋裙楼二楼,南山区,113.912102,22.528456,4.6,,餐饮服务
鑫鑫餐厅(前海凯御大新时代大厦店),餐饮服务;餐饮相关场所;餐饮相关,学府路263号大新时代大厦商业裙楼3楼,南山区,113.91168,22.528008,4.4,210,餐饮服务
八大四小土菜馆,餐饮服务;中餐厅;中餐厅,桂庙路112号,南山区,113.911858,22.523181,4.3,,餐饮服务
观海膳厨(前海桂湾店),餐饮服务;中餐厅;中餐厅,前海深港合作区南山街道桂湾五路123号前海大厦T2栋301,南山区,113.899179,22.527074,4.3,263,餐饮服务
麦当劳(深圳大新时代大厦分店),餐饮服务;快餐厅;麦当劳,学府路大新时代大厦1层128号麦当劳,南山区,113.911702,22.527901,4.4,24,餐饮服务
望月楼餐厅(前海店),餐饮服务;中餐厅;中餐厅,前湾一路201号中集前海国际中心T1栋A座,南山区,113.899065,22.521314,4.4,187,餐饮服务
麦当劳(华海金融创新中心店),餐饮服务;快餐厅;麦当劳,华海金融创新中心C塔,南山区,113.900487,22.525887,4.2,25,餐饮服务
